rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
db6db4f6-0aa2-473f-80e0-6416a5f6b476,Phenomen,https://www.eu-startups.com/investor/phenomen/,VC Firm,"Finance, Financial Services, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
4522d47a-e80f-4eb3-aaa7-ba9f6b456482,Naya Capital,https://www.eu-startups.com/investor/naya-capital/,VC Firm,"Finance, Financial Exchanges, Financial Services",Above €3M,"Series A/B, Series C & Beyond"
a2dbe994-a726-4821-b36e-292a5d19d90a,Energy Growth Momentum,https://www.eu-startups.com/investor/energy-growth-momentum/,VC Firm,"Digital Technology, Low Carbon Solutions, Sustainable Future, Proven Operational Technology, Commercial and Carbon Efficiency of Energy Assets",€1.5M-€3M,"Series A/B, Series C & Beyond"
4cf65108-347c-4c51-8e94-d615654bfcdf,Seismic Ventures,https://www.eu-startups.com/investor/seismic-ventures-2/,VC Firm,"Impact Investing, Venture Capital, Wealth Management",€1.5M-€3M,Series A/B
a1b8d269-6e84-49ef-954a-8077fdbb884d,Athene Capital,https://www.eu-startups.com/investor/athene-capital/,VC Firm,"Private Equity, Venture Capital, Growth Capital, Project Finance, Private Debt",€1.5M-€3M,"Series A/B, Series C & Beyond"
95449382-8f38-46cb-9c31-378ce9881d3a,Iconical,https://www.eu-startups.com/investor/iconical/,VC Firm,"Crowdfunding, Financial Services, Non Profit",Above €3M,"Series A/B, Series C & Beyond"
01c28650-99a4-4ca9-b360-a0b4da115b75,Verb Ventures,https://www.eu-startups.com/investor/verb-ventures/,VC Firm,"Financial Services, Health Care, Information Services, Information Technology, Internet, Marketplace, SaaS, Software",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
e6f914ea-7961-43f8-a10f-d884e1db70b7,Vela Technologies,https://www.eu-startups.com/investor/vela-technologies/,VC Firm,"Financial Contracts, Investing, Finance, Insurance, Consulting & Professional Services, Investment, Banking",€100k-€1.5M,Series A/B
e3562a1e-a16a-4636-a052-e09ceda6d912,Timechain,https://www.eu-startups.com/investor/timechain/,VC Firm,"cryptocurrencies, Bitcoin ,economic battery,monetary network",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
fa1d345a-7cf1-40d6-a974-11fc99f074cd,Tidal Wave,https://www.eu-startups.com/investor/tidal-wave/,VC Firm,"Consumer technology, E-commerce, Digital health, Fintech",€100k-€1.5M,Pre-Seed / Seed
813950fc-7ea8-4dfc-b852-41dee4ddbe35,The Capital Partnership,https://www.eu-startups.com/investor/the-capital-partnership/,VC Firm,"Financial Services, Venture Capital, Healthcare Investments, Real Estate, Residential Investments, Hospitality Investments",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
7663e43e-48d5-4d98-a535-9c20dd73c91c,Sussex Place Ventures,https://www.eu-startups.com/investor/sussex-place-ventures/,VC Firm,"Venture Capital, Financial Contracts, Investing , Finance",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
b7343071-e3b6-4624-abf2-1ffafb4139fc,Sixth Wave Ventures,https://www.eu-startups.com/investor/sixth-wave-ventures/,VC Firm,"Biotechnology, Clean energy technologies, Advanced materials, Environmental sustainability",€100k-€1.5M,Pre-Seed / Seed
